id,year,rank,school,games,wins,losses,win_percentage,conference_wins,conference_losses,home_wins,home_losses,away_wins,away_losses,offensive_rating,defensive_rating,net_rating,field_goals,field_goal_attempts,field_goal_percentage,3_pointers,3_pointer_attempts,3_pointer_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,opponent_points,simple_rating,point_diff,assist_turnover_ratio,home_win_pct,away_win_pct,home_advantage,conf_win_pct,scoring_efficiency,defensive_pressure
302,2003,15,UConn,25,32,18,0.333,15,18,18.0,0.0,9.0,7.0,104.2,89.6,12.7,25.8,61.8,0.536,4.1,10.2,0.336,0.559,20.7,20.7,0.664,9.1,40.7,16.6,11.4,2.8,13.3,19.1,72.9,67.1,11.13,5.800000000000011,1.2481203007518797,1.0,0.5625,0.4375,0.45454545454545453,1.179611650485437,14.2
477,2012,11,St. John's (NY),25,29,3,0.286,15,8,15.0,6.0,4.0,4.0,99.6,98.5,6.6,24.2,62.2,0.493,3.6,18.6,0.352,0.488,12.5,16.2,0.737,10.0,34.1,11.5,5.5,1.9,14.0,20.0,69.9,69.3,10.71,0.6000000000000085,0.8214285714285714,0.7142857142857143,0.5,0.2142857142857143,0.6521739130434783,1.1237942122186495,7.4
217,2019,2,Xavier,23,23,8,0.647,8,15,13.0,8.0,6.0,5.0,100.5,92.0,0.0,28.6,54.7,0.498,10.6,25.3,0.352,0.491,11.6,16.7,0.725,13.1,40.2,12.8,6.6,8.5,13.3,22.3,74.0,58.9,10.38,15.100000000000001,0.9624060150375939,0.6190476190476191,0.5454545454545454,0.07359307359307365,0.34782608695652173,1.352833638025594,15.1
208,1983,4,Xavier,36,36,18,0.645,9,3,17.0,11.0,3.0,5.0,106.0,101.4,0.0,28.0,59.8,0.497,3.4,20.9,0.401,0.472,19.2,25.9,0.624,16.1,32.5,10.3,7.6,4.3,15.8,22.7,74.4,70.4,2.94,4.0,0.6518987341772152,0.6071428571428571,0.375,0.2321428571428571,0.75,1.2441471571906355,11.899999999999999
81,1991,5,Villanova,19,34,11,0.688,13,8,15.0,0.0,1.0,7.0,97.7,98.3,0.0,30.1,50.5,0.444,6.7,12.9,0.419,0.427,18.4,24.7,0.759,15.8,39.4,13.5,8.1,7.7,13.9,16.8,64.7,58.1,0.0,6.600000000000001,0.9712230215827338,1.0,0.125,0.875,0.6190476190476191,1.2811881188118812,15.8
345,2003,1,Boston College,40,26,23,0.944,4,6,12.0,6.0,9.0,8.0,103.6,98.5,0.0,22.7,56.4,0.446,5.4,18.1,0.429,0.434,13.3,14.4,0.613,12.5,36.5,9.5,10.7,2.5,9.9,24.0,65.1,72.7,11.2,-7.6000000000000085,0.9595959595959596,0.6666666666666666,0.5294117647058824,0.13725490196078427,0.4,1.1542553191489362,13.2
252,2017,5,Creighton,37,34,19,0.548,4,19,17.0,7.0,8.0,6.0,100.2,95.8,0.0,28.9,60.1,0.517,4.4,17.0,0.389,0.532,23.7,16.7,0.728,15.3,39.3,12.6,7.5,1.5,14.6,14.8,78.8,65.0,10.31,13.799999999999997,0.863013698630137,0.7083333333333334,0.5714285714285714,0.13690476190476197,0.17391304347826086,1.3111480865224625,9.0
74,1983,4,Virginia Tech,26,31,15,0.656,11,11,18.0,3.0,4.0,11.0,111.4,94.1,0.7,25.4,49.4,0.497,9.3,4.8,0.381,0.465,15.4,17.7,0.685,11.7,33.0,16.4,5.6,5.4,16.2,17.7,83.7,69.6,6.21,14.100000000000009,1.0123456790123457,0.8571428571428571,0.26666666666666666,0.5904761904761904,0.5,1.694331983805668,11.0
323,1998,6,Villanova,40,14,13,0.464,1,3,14.0,3.0,7.0,3.0,102.0,104.8,0.0,27.9,52.5,0.446,9.6,14.6,0.358,0.488,19.5,23.2,0.599,9.7,37.7,18.3,6.1,6.1,11.6,15.9,70.1,76.9,20.89,-6.800000000000011,1.5775862068965518,0.8235294117647058,0.7,0.12352941176470589,0.25,1.3352380952380951,12.2
234,2006,2,Miami (FL),31,19,12,0.737,7,9,6.0,0.0,5.0,2.0,107.0,104.3,5.1,21.4,57.1,0.424,5.4,4.8,0.352,0.572,15.8,25.6,0.681,9.1,33.2,12.2,8.1,8.9,14.0,18.5,80.0,74.2,20.91,5.799999999999997,0.8714285714285713,1.0,0.7142857142857143,0.2857142857142857,0.4375,1.4010507880910683,17.0
66,2021,16,Miami (FL),37,11,9,0.594,13,11,7.0,8.0,4.0,10.0,102.7,95.2,10.6,24.6,51.8,0.463,2.8,21.7,0.339,0.467,17.3,29.7,0.715,14.0,37.3,18.9,9.8,4.7,17.5,17.5,83.5,66.5,11.68,17.0,1.0799999999999998,0.4666666666666667,0.2857142857142857,0.18095238095238098,0.5416666666666666,1.611969111969112,14.5
120,2016,10,Cincinnati,39,13,20,0.625,13,14,15.0,6.0,1.0,1.0,102.2,99.4,0.0,27.1,59.6,0.48,8.0,24.0,0.349,0.5,13.5,27.4,0.7,14.3,29.2,12.3,9.4,3.4,19.1,21.8,84.3,56.4,15.05,27.9,0.643979057591623,0.7142857142857143,0.5,0.2142857142857143,0.48148148148148145,1.414429530201342,12.8
403,1980,2,Louisville,40,25,14,0.794,11,4,6.0,8.0,10.0,11.0,105.6,101.6,0.0,24.5,56.1,0.494,10.0,12.4,0.322,0.544,17.4,23.7,0.649,11.8,40.3,13.3,10.5,5.4,12.3,19.9,66.9,69.7,3.12,-2.799999999999997,1.08130081300813,0.42857142857142855,0.47619047619047616,-0.047619047619047616,0.7333333333333333,1.1925133689839573,15.9
169,1984,2,Pitt,31,13,24,0.517,8,15,19.0,9.0,3.0,3.0,111.5,101.6,10.8,23.9,59.7,0.499,3.7,15.7,0.252,0.483,20.3,24.4,0.702,10.8,40.3,16.4,5.0,2.1,10.2,21.5,66.6,71.6,1.5,-5.0,1.607843137254902,0.6785714285714286,0.5,0.1785714285714286,0.34782608695652173,1.1155778894472361,7.1
311,1991,13,Villanova,38,12,23,0.222,10,15,19.0,9.0,6.0,2.0,108.0,106.5,0.0,23.6,67.5,0.421,5.2,24.2,0.317,0.445,14.8,27.0,0.622,17.6,31.3,15.8,8.8,3.0,10.2,24.9,69.4,74.6,10.3,-5.199999999999989,1.5490196078431375,0.6785714285714286,0.75,-0.0714285714285714,0.4,1.0281481481481483,11.8
40,1999,14,Syracuse,40,14,10,0.767,1,14,2.0,9.0,6.0,6.0,106.3,89.5,5.2,29.2,55.2,0.525,5.8,25.9,0.298,0.561,19.7,30.6,0.746,13.1,43.1,11.2,8.0,6.3,19.7,24.2,68.2,64.6,4.98,3.6000000000000085,0.5685279187817259,0.18181818181818182,0.5,-0.3181818181818182,0.06666666666666667,1.2355072463768115,14.3
181,1997,7,St. John's (NY),37,17,20,0.344,6,13,17.0,3.0,10.0,10.0,108.5,101.6,12.8,30.5,57.0,0.504,9.2,19.4,0.364,0.54,11.5,20.1,0.648,8.5,39.6,18.3,5.0,5.7,18.9,17.0,71.9,59.4,7.62,12.500000000000007,0.9682539682539684,0.85,0.5,0.35,0.3157894736842105,1.26140350877193,10.7
115,1985,5,Notre Dame,36,26,16,0.784,15,10,8.0,10.0,10.0,3.0,111.2,94.9,14.6,23.6,56.8,0.456,11.0,13.9,0.396,0.513,15.5,20.6,0.639,8.5,37.2,15.2,9.4,8.8,18.9,15.5,77.8,62.6,15.84,15.199999999999996,0.8042328042328043,0.4444444444444444,0.7692307692307693,-0.32478632478632485,0.6,1.369718309859155,18.200000000000003
86,1990,2,St. John's (NY),29,21,19,0.595,17,5,7.0,10.0,3.0,9.0,111.2,104.1,0.0,31.7,60.2,0.434,4.9,18.4,0.326,0.499,10.3,21.7,0.6,8.8,40.2,14.1,4.9,4.7,17.5,24.0,70.6,69.7,6.92,0.8999999999999915,0.8057142857142857,0.4117647058823529,0.25,0.16176470588235292,0.7727272727272727,1.1727574750830563,9.600000000000001
24,2017,4,Rutgers,26,25,18,0.789,0,15,19.0,10.0,10.0,11.0,110.4,102.8,8.6,28.0,64.5,0.395,0.2,21.4,0.327,0.512,18.8,21.9,0.602,15.1,41.2,17.6,5.9,5.4,13.5,19.4,72.6,72.2,11.26,0.3999999999999915,1.3037037037037038,0.6551724137931034,0.47619047619047616,0.17898193760262726,0.0,1.1255813953488372,11.3
144,2019,14,Virginia Tech,26,24,8,0.464,7,16,17.0,5.0,4.0,4.0,111.2,104.2,12.0,27.6,67.9,0.467,7.7,17.7,0.326,0.52,17.9,18.2,0.686,8.7,38.1,14.7,8.6,6.3,13.1,22.2,70.3,72.7,8.15,-2.4000000000000057,1.1221374045801527,0.7727272727272727,0.5,0.2727272727272727,0.30434782608695654,1.0353460972017672,14.899999999999999
261,1980,14,St. John's (NY),33,24,24,0.703,8,6,17.0,3.0,8.0,3.0,98.3,105.7,0.0,25.2,61.4,0.499,11.6,24.3,0.296,0.435,16.0,14.8,0.652,10.1,40.3,11.8,7.4,4.8,17.3,22.9,76.8,59.6,12.26,17.199999999999996,0.6820809248554913,0.85,0.7272727272727273,0.12272727272727268,0.5714285714285714,1.250814332247557,12.2
451,2008,11,Providence,36,11,12,0.419,15,18,11.0,9.0,6.0,2.0,110.6,104.2,7.9,27.5,57.2,0.497,11.6,13.9,0.362,0.557,13.7,21.2,0.751,9.5,33.6,18.1,11.2,1.6,11.2,17.1,76.2,63.7,7.57,12.5,1.6160714285714288,0.55,0.75,-0.19999999999999996,0.45454545454545453,1.332167832167832,12.799999999999999
238,2003,10,West Virginia,28,26,2,0.533,13,11,17.0,2.0,6.0,1.0,110.6,92.1,7.3,23.6,54.8,0.443,5.2,22.1,0.365,0.435,12.0,30.0,0.675,12.4,39.0,13.4,5.9,2.7,10.2,21.7,75.1,66.1,11.64,9.0,1.3137254901960786,0.8947368421052632,0.8571428571428571,0.03759398496240607,0.5416666666666666,1.3704379562043796,8.600000000000001
366,2007,11,Marquette,29,32,9,0.7,11,1,19.0,4.0,4.0,1.0,99.6,104.8,6.2,26.3,51.9,0.504,4.8,23.3,0.366,0.458,17.6,20.5,0.75,11.3,34.1,18.8,10.3,3.5,13.4,19.4,79.2,63.5,8.53,15.700000000000003,1.4029850746268657,0.8260869565217391,0.8,0.02608695652173909,0.9166666666666666,1.5260115606936417,13.8
235,2014,3,Rutgers,21,24,20,0.29,14,5,8.0,11.0,4.0,2.0,101.4,100.0,10.9,21.2,65.5,0.484,8.7,17.1,0.38,0.44,10.6,28.2,0.703,10.0,40.6,18.6,6.4,2.1,17.9,23.0,62.2,75.6,3.85,-13.399999999999991,1.0391061452513968,0.42105263157894735,0.6666666666666666,-0.24561403508771928,0.7368421052631579,0.9496183206106871,8.5
143,1998,3,Pitt,27,5,25,0.613,15,4,12.0,9.0,0.0,5.0,95.1,97.1,16.7,28.4,56.4,0.456,3.5,25.1,0.32,0.528,19.2,17.5,0.673,10.6,34.1,15.0,10.1,1.6,10.9,22.2,85.8,67.9,14.39,17.89999999999999,1.3761467889908257,0.5714285714285714,0.0,0.5714285714285714,0.7894736842105263,1.5212765957446808,11.7
149,2019,15,Rutgers,32,25,4,0.29,11,12,17.0,3.0,3.0,8.0,106.0,97.3,0.6,23.4,61.1,0.384,8.5,15.8,0.318,0.534,14.5,26.2,0.669,9.1,35.1,16.2,5.2,3.9,10.8,21.1,84.3,68.7,18.09,15.599999999999994,1.4999999999999998,0.85,0.2727272727272727,0.5772727272727273,0.4782608695652174,1.3797054009819967,9.1
67,2010,12,South Florida,30,12,8,0.29,13,12,12.0,1.0,8.0,4.0,115.5,87.1,11.2,35.1,56.1,0.435,5.6,18.0,0.431,0.519,13.0,22.9,0.657,12.9,44.7,18.1,5.3,6.1,18.3,19.6,71.7,69.1,4.21,2.6000000000000085,0.9890710382513661,0.9230769230769231,0.6666666666666666,0.2564102564102565,0.52,1.2780748663101604,11.399999999999999
159,2012,10,Louisville,34,36,9,0.364,15,14,18.0,0.0,9.0,7.0,108.8,99.2,12.3,30.1,51.6,0.52,9.5,20.8,0.38,0.44,18.7,22.8,0.657,8.2,31.1,20.8,7.2,3.3,17.6,19.2,75.6,76.1,14.3,-0.5,1.1818181818181817,1.0,0.5625,0.4375,0.5172413793103449,1.4651162790697674,10.5
443,2003,6,Cincinnati,31,33,12,0.625,2,17,14.0,4.0,4.0,12.0,100.5,110.7,5.1,21.3,52.2,0.473,1.9,15.7,0.316,0.474,21.3,24.9,0.658,8.5,36.3,17.4,7.2,5.7,16.6,20.5,73.4,72.2,7.48,1.2000000000000028,1.0481927710843373,0.7777777777777778,0.25,0.5277777777777778,0.10526315789473684,1.4061302681992338,12.9
193,1984,5,Marquette,31,6,5,0.25,5,4,12.0,11.0,6.0,1.0,101.4,96.6,10.1,27.7,60.3,0.498,11.6,18.6,0.362,0.458,17.1,19.9,0.662,13.8,32.2,16.4,11.4,5.0,16.5,21.5,77.1,62.8,17.97,14.299999999999997,0.9939393939393939,0.5217391304347826,0.8571428571428571,-0.3354037267080745,0.5555555555555556,1.2786069651741294,16.4
362,2015,16,Syracuse,35,8,5,0.559,3,5,10.0,5.0,9.0,6.0,112.3,93.1,7.0,31.3,54.9,0.398,4.1,26.0,0.36,0.445,12.0,23.1,0.729,13.1,33.2,13.1,10.6,8.6,19.2,19.1,76.6,65.2,12.87,11.399999999999991,0.6822916666666666,0.6666666666666666,0.6,0.06666666666666665,0.375,1.395264116575592,19.2
360,2009,8,Cincinnati,26,6,9,0.581,7,7,7.0,0.0,8.0,10.0,106.6,93.0,9.7,26.0,60.4,0.384,5.5,14.7,0.359,0.508,13.7,15.4,0.681,18.6,39.5,12.0,10.5,4.0,9.1,23.4,77.2,62.9,9.36,14.300000000000004,1.3186813186813187,1.0,0.4444444444444444,0.5555555555555556,0.5,1.2781456953642385,14.5
479,2021,3,UConn,36,32,4,0.844,14,16,7.0,0.0,0.0,1.0,113.3,107.8,12.3,27.2,59.3,0.533,10.4,8.9,0.29,0.55,12.0,24.8,0.776,10.3,34.6,10.8,6.2,2.5,12.8,18.8,74.7,67.0,17.98,7.700000000000003,0.84375,1.0,0.0,1.0,0.4666666666666667,1.2596964586846544,8.7
349,1982,10,Georgetown,31,14,20,0.194,16,19,2.0,8.0,8.0,1.0,100.0,96.1,6.4,25.5,49.0,0.414,4.1,12.2,0.373,0.469,15.3,24.4,0.683,11.5,34.8,10.9,9.5,8.8,17.2,21.2,62.6,78.9,7.88,-16.300000000000004,0.6337209302325582,0.2,0.8888888888888888,-0.6888888888888889,0.45714285714285713,1.2775510204081633,18.3
21,1994,12,Miami (FL),19,22,15,0.471,10,10,9.0,0.0,1.0,12.0,89.4,92.3,1.6,21.3,53.5,0.446,9.7,7.6,0.316,0.524,17.9,24.8,0.665,10.9,34.6,12.5,8.9,6.6,12.6,23.0,71.8,69.4,12.8,2.3999999999999915,0.9920634920634921,1.0,0.07692307692307693,0.9230769230769231,0.5,1.342056074766355,15.5
59,2011,1,Syracuse,29,20,12,0.767,1,14,14.0,4.0,0.0,12.0,106.8,110.4,6.4,21.8,54.9,0.511,10.4,19.8,0.323,0.541,19.8,15.8,0.648,14.8,37.3,11.5,5.6,8.5,14.4,18.7,75.6,61.3,9.71,14.299999999999997,0.798611111111111,0.7777777777777778,0.0,0.7777777777777778,0.06666666666666667,1.3770491803278688,14.1
270,2001,7,West Virginia,31,35,24,0.564,6,7,11.0,1.0,5.0,3.0,108.3,88.5,0.0,23.2,59.1,0.453,3.2,22.4,0.346,0.509,18.4,20.5,0.739,9.2,38.2,15.4,4.8,3.9,19.7,21.0,76.8,63.7,16.72,13.099999999999994,0.7817258883248731,0.9166666666666666,0.625,0.29166666666666663,0.46153846153846156,1.299492385786802,8.7
494,1993,13,Louisville,26,21,15,0.364,10,6,12.0,2.0,0.0,4.0,113.8,100.0,3.7,30.7,50.5,0.395,6.0,19.8,0.324,0.481,21.3,22.3,0.659,11.8,34.1,15.8,9.6,4.3,17.7,12.7,81.8,61.0,13.98,20.799999999999997,0.8926553672316385,0.8571428571428571,0.0,0.8571428571428571,0.625,1.6198019801980197,13.899999999999999
45,1998,1,Providence,31,11,15,0.344,3,8,9.0,2.0,2.0,5.0,107.5,96.0,10.0,29.5,49.4,0.384,8.8,19.2,0.319,0.546,16.6,30.6,0.639,10.9,36.6,20.8,6.0,2.8,14.6,24.0,67.9,65.5,7.88,2.4000000000000057,1.4246575342465755,0.8181818181818182,0.2857142857142857,0.5324675324675325,0.2727272727272727,1.3744939271255063,8.8
182,1992,2,Butler,38,20,16,0.781,1,12,12.0,10.0,4.0,10.0,104.1,105.2,20.0,30.7,61.1,0.484,9.0,29.3,0.299,0.462,10.2,20.7,0.598,7.9,30.4,16.8,4.8,2.5,14.7,18.4,76.3,69.8,12.44,6.5,1.142857142857143,0.5454545454545454,0.2857142857142857,0.2597402597402597,0.07692307692307693,1.2487725040916529,7.3
188,1992,1,Providence,25,23,13,0.613,4,18,9.0,4.0,10.0,11.0,91.9,95.5,12.3,27.7,62.2,0.488,6.6,8.1,0.345,0.567,14.2,19.2,0.649,11.2,36.7,18.9,13.1,7.6,16.2,15.4,71.4,59.2,14.24,12.200000000000003,1.1666666666666667,0.6923076923076923,0.47619047619047616,0.21611721611721613,0.18181818181818182,1.1479099678456592,20.7
11,2008,16,Seton Hall,34,30,25,0.848,14,6,6.0,0.0,5.0,1.0,107.4,96.6,0.2,31.7,56.1,0.527,10.4,12.8,0.311,0.472,21.3,26.5,0.668,13.5,41.2,12.6,7.7,3.4,10.1,22.5,80.5,68.7,16.84,11.799999999999997,1.2475247524752475,1.0,0.8333333333333334,0.16666666666666663,0.7,1.4349376114081995,11.1
8,2004,7,St. John's (NY),41,34,11,0.467,17,14,15.0,2.0,8.0,9.0,95.6,94.7,9.3,28.9,50.6,0.444,6.3,14.6,0.362,0.553,18.4,20.5,0.693,11.6,40.2,13.0,11.4,3.8,15.2,19.8,65.8,57.3,13.08,8.5,0.8552631578947368,0.8823529411764706,0.47058823529411764,0.4117647058823529,0.5483870967741935,1.3003952569169959,15.2
239,2015,13,Syracuse,38,31,24,0.829,17,5,14.0,9.0,3.0,11.0,97.3,93.6,1.2,32.4,59.0,0.503,1.0,21.1,0.333,0.463,17.1,18.3,0.583,10.3,41.5,12.0,10.0,4.6,19.9,22.7,62.6,63.2,8.94,-0.6000000000000014,0.6030150753768845,0.6086956521739131,0.21428571428571427,0.3944099378881988,0.7727272727272727,1.0610169491525423,14.6
245,1986,5,Pitt,26,21,24,0.273,11,6,12.0,7.0,0.0,11.0,91.9,97.7,6.4,22.9,62.4,0.45,7.5,8.3,0.429,0.524,16.9,22.2,0.656,11.0,40.7,14.8,9.0,2.9,12.2,16.4,83.3,61.7,9.85,21.599999999999994,1.213114754098361,0.631578947368421,0.0,0.631578947368421,0.6470588235294118,1.3349358974358974,11.9
189,1980,10,Villanova,33,5,22,0.559,2,10,12.0,9.0,0.0,3.0,103.6,86.8,12.5,23.1,67.9,0.463,8.0,24.4,0.35,0.479,19.7,20.9,0.696,10.0,33.9,16.8,4.7,2.5,12.7,22.4,59.9,70.6,21.21,-10.699999999999996,1.3228346456692914,0.5714285714285714,0.0,0.5714285714285714,0.16666666666666666,0.8821796759941088,7.2
479,1994,5,Georgetown,28,11,9,0.686,16,15,5.0,11.0,7.0,8.0,116.3,99.9,0.0,28.3,63.3,0.414,3.6,13.8,0.375,0.429,11.9,18.6,0.683,14.3,37.7,12.8,6.9,4.8,9.5,21.1,65.4,68.3,4.21,-2.8999999999999915,1.3473684210526315,0.3125,0.4666666666666667,-0.15416666666666667,0.5161290322580645,1.0331753554502372,11.7
482,1989,11,Virginia Tech,36,32,16,0.848,11,7,7.0,4.0,9.0,12.0,100.2,102.9,0.0,21.4,64.0,0.49,0.2,13.1,0.391,0.477,10.9,22.7,0.701,12.0,31.4,16.3,6.2,2.7,10.0,15.1,80.7,75.6,12.0,5.1000000000000085,1.6300000000000001,0.6363636363636364,0.42857142857142855,0.2077922077922078,0.6111111111111112,1.2609375,8.9
366,1979,12,DePaul,40,25,15,0.914,15,1,18.0,5.0,2.0,11.0,93.7,101.6,6.9,30.5,58.6,0.389,9.3,17.9,0.283,0.467,17.0,27.6,0.71,13.9,38.5,14.6,9.0,4.8,10.9,14.9,65.3,66.2,26.64,-0.9000000000000057,1.3394495412844036,0.782608695652174,0.15384615384615385,0.6287625418060201,0.9375,1.114334470989761,13.8
116,2001,6,Syracuse,34,29,3,0.367,5,1,5.0,6.0,2.0,6.0,102.0,97.0,0.0,27.0,58.0,0.402,9.6,24.1,0.429,0.57,23.7,17.0,0.753,9.3,37.1,12.6,9.5,4.7,13.6,20.6,65.8,75.4,17.7,-9.600000000000009,0.9264705882352942,0.45454545454545453,0.25,0.20454545454545453,0.8333333333333334,1.1344827586206896,14.2
443,1985,12,Syracuse,28,13,18,0.564,14,15,15.0,7.0,1.0,3.0,106.3,89.4,12.0,31.0,53.4,0.399,4.8,16.7,0.324,0.452,10.8,25.4,0.745,10.3,40.5,16.5,9.0,3.2,11.5,21.9,71.5,65.5,9.61,6.0,1.434782608695652,0.6818181818181818,0.25,0.43181818181818177,0.4827586206896552,1.3389513108614233,12.2
494,1984,7,Georgetown,25,33,19,0.824,13,16,13.0,4.0,4.0,3.0,104.9,99.0,9.0,22.9,58.7,0.517,6.6,6.5,0.283,0.458,13.8,23.8,0.742,9.9,37.6,13.6,8.0,4.0,11.9,21.5,71.0,69.8,7.06,1.2000000000000028,1.1428571428571428,0.7647058823529411,0.5714285714285714,0.19327731092436973,0.4482758620689655,1.2095400340715503,12.0
292,2001,1,Notre Dame,21,9,11,0.9,14,5,7.0,1.0,7.0,8.0,100.6,100.4,2.5,32.4,59.4,0.452,6.6,9.5,0.323,0.459,19.1,24.0,0.679,11.0,31.8,13.9,5.8,7.5,14.1,18.5,59.9,77.2,19.16,-17.300000000000004,0.9858156028368795,0.875,0.4666666666666667,0.4083333333333333,0.7368421052631579,1.0084175084175084,13.3
147,2009,15,Georgetown,40,12,12,0.643,3,9,16.0,8.0,6.0,12.0,98.2,101.1,13.7,28.9,61.0,0.465,11.0,21.7,0.311,0.504,16.7,23.4,0.612,10.9,36.6,13.6,9.6,7.8,11.6,24.2,69.6,65.5,17.7,4.099999999999994,1.1724137931034482,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,1.1409836065573769,17.4
368,2018,1,Syracuse,28,23,15,0.788,12,15,13.0,6.0,4.0,8.0,108.4,91.2,0.0,25.2,60.4,0.436,7.3,16.4,0.317,0.589,11.6,21.6,0.682,15.4,30.2,13.0,10.0,2.7,15.2,18.4,64.9,71.1,11.2,-6.199999999999989,0.8552631578947368,0.6842105263157895,0.3333333333333333,0.3508771929824562,0.4444444444444444,1.0745033112582782,12.7
148,2008,2,Providence,39,27,18,0.545,15,16,8.0,8.0,2.0,4.0,100.9,101.8,13.3,25.3,51.3,0.457,1.8,24.4,0.4,0.505,15.7,24.1,0.626,9.1,44.9,15.3,7.5,3.1,15.6,16.0,81.5,70.7,10.87,10.799999999999997,0.9807692307692308,0.5,0.3333333333333333,0.16666666666666669,0.4838709677419355,1.5886939571150098,10.6
369,2020,16,Georgetown,30,34,21,0.649,5,2,18.0,4.0,10.0,7.0,101.3,105.2,2.7,26.3,58.0,0.529,9.0,21.5,0.341,0.493,19.7,18.6,0.597,15.6,34.7,19.2,8.4,7.3,11.0,15.5,83.3,64.9,15.84,18.39999999999999,1.7454545454545454,0.8181818181818182,0.5882352941176471,0.22994652406417115,0.7142857142857143,1.436206896551724,15.7
460,2015,2,Georgetown,33,33,25,0.481,3,14,15.0,10.0,0.0,7.0,100.8,89.6,6.4,30.9,54.3,0.52,10.4,15.4,0.305,0.465,17.0,16.7,0.699,8.3,42.8,17.3,10.1,4.8,12.0,19.7,74.5,74.9,7.57,-0.4000000000000057,1.4416666666666667,0.6,0.0,0.6,0.17647058823529413,1.3720073664825048,14.899999999999999
81,1995,12,Creighton,35,22,5,0.848,12,18,12.0,6.0,0.0,5.0,102.4,98.5,14.2,23.7,53.2,0.399,7.9,19.9,0.306,0.469,16.9,22.4,0.692,16.8,30.5,10.7,4.6,5.5,15.3,19.2,70.2,65.1,11.88,5.1000000000000085,0.6993464052287581,0.6666666666666666,0.0,0.6666666666666666,0.4,1.3195488721804511,10.1
154,2021,12,Rutgers,38,35,13,0.865,7,18,18.0,2.0,6.0,7.0,98.5,103.9,7.0,35.1,62.2,0.489,3.0,24.3,0.353,0.487,23.7,16.3,0.757,12.4,40.4,10.3,5.9,6.3,12.0,15.4,81.1,62.6,7.06,18.499999999999993,0.8583333333333334,0.9,0.46153846153846156,0.43846153846153846,0.28,1.3038585209003213,12.2
196,2015,3,Rutgers,25,30,15,0.29,11,10,7.0,8.0,2.0,2.0,97.3,102.0,10.0,22.3,66.1,0.45,8.6,20.4,0.319,0.49,13.2,17.1,0.673,10.8,43.8,11.1,5.0,6.6,11.6,19.6,63.1,78.5,13.07,-15.399999999999999,0.9568965517241379,0.4666666666666667,0.5,-0.033333333333333326,0.5238095238095238,0.9546142208774585,11.6
445,2013,14,Rutgers,26,11,5,0.829,0,16,13.0,11.0,8.0,10.0,96.8,102.2,0.0,22.8,62.0,0.476,5.9,12.7,0.387,0.565,15.7,18.1,0.669,13.4,27.7,9.5,8.8,1.5,14.1,16.0,71.0,69.0,5.17,2.0,0.6737588652482269,0.5416666666666666,0.4444444444444444,0.09722222222222221,0.0,1.1451612903225807,10.3
481,2012,10,Miami (FL),28,36,4,0.259,15,9,4.0,0.0,3.0,4.0,93.1,89.9,1.0,25.1,61.6,0.509,7.0,20.7,0.356,0.499,18.2,18.5,0.679,8.9,36.6,17.1,8.8,5.5,16.3,14.8,63.5,72.1,5.94,-8.599999999999994,1.049079754601227,1.0,0.42857142857142855,0.5714285714285714,0.625,1.030844155844156,14.3
109,2011,5,Syracuse,23,8,16,0.594,10,5,18.0,8.0,10.0,5.0,111.0,86.1,4.5,30.3,60.0,0.431,6.5,23.3,0.341,0.535,11.1,21.0,0.766,13.5,41.9,11.1,4.5,5.5,16.5,19.1,70.6,61.0,16.78,9.599999999999994,0.6727272727272727,0.6923076923076923,0.6666666666666666,0.02564102564102566,0.6666666666666666,1.1766666666666665,10.0
239,1990,6,Rutgers,37,29,19,0.581,0,18,8.0,2.0,9.0,8.0,122.14999999999998,98.6,3.4,20.5,54.3,0.428,3.6,29.0,0.31,0.438,15.8,21.6,0.715,14.5,29.7,11.1,11.3,5.0,18.0,17.1,75.9,64.6,18.17,11.300000000000011,0.6166666666666667,0.8,0.5294117647058824,0.2705882352941177,0.0,1.3977900552486189,16.3
166,2013,1,Creighton,26,9,16,0.703,5,10,13.0,3.0,1.0,6.0,122.14999999999998,93.0,0.0,27.6,54.5,0.433,9.4,11.6,0.344,0.489,12.5,21.5,0.674,12.1,31.4,11.0,9.6,5.7,11.5,19.0,66.0,69.3,16.43,-3.299999999999997,0.9565217391304348,0.8125,0.14285714285714285,0.6696428571428572,0.3333333333333333,1.2110091743119267,15.3
160,1989,14,Xavier,28,9,20,0.379,5,18,11.0,11.0,2.0,5.0,103.3,92.4,11.5,32.9,54.1,0.443,7.7,22.3,0.384,0.526,13.9,24.2,0.755,10.9,44.9,9.0,7.3,7.8,10.2,20.1,74.1,79.3,18.99,-5.200000000000003,0.8823529411764707,0.5,0.2857142857142857,0.2142857142857143,0.21739130434782608,1.3696857670979665,15.1
127,2004,13,Georgetown,38,33,6,0.944,6,7,7.0,1.0,8.0,4.0,103.2,99.5,20.4,26.2,61.5,0.476,2.0,15.8,0.4,0.54,14.7,17.1,0.745,15.3,27.7,13.5,13.1,5.2,12.9,19.0,71.4,66.9,5.55,4.5,1.0465116279069766,0.875,0.6666666666666666,0.20833333333333337,0.46153846153846156,1.1609756097560977,18.3
